MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
08/13/2020 - BOS vs. WAS,0,240,90,35,88,39.8,8,35,22.9,12,14,85.7,13,38,51,22,8,7,18,19
08/11/2020 - BOS @ MEM,1,240,122,44,86,51.2,16,37,43.2,18,23,78.3,10,36,46,29,7,7,12,27
08/09/2020 - BOS vs. ORL,1,265,122,45,102,44.1,12,40,30.0,20,24,83.3,13,41,54,32,9,7,12,19
08/07/2020 - BOS @ TOR,1,240,122,47,96,49.0,16,46,34.8,12,16,75.0,9,43,52,27,8,2,14,22
08/05/2020 - BOS vs. BKN,1,240,149,50,88,56.8,20,39,51.3,29,35,82.9,6,37,43,29,10,10,14,23
08/04/2020 - BOS @ MIA,0,240,106,37,85,43.5,10,33,30.3,22,27,81.5,14,31,45,15,7,4,16,26
08/02/2020 - BOS vs. POR,1,240,128,42,77,54.5,18,30,60.0,26,34,76.5,6,30,36,24,9,6,14,21
07/31/2020 - BOS @ MIL,0,240,112,37,91,40.7,11,37,29.7,27,34,79.4,14,34,48,18,8,5,15,28
03/10/2020 - BOS @ IND,1,240,114,41,93,44.1,13,37,35.1,19,22,86.4,11,35,46,19,9,4,8,15
03/08/2020 - BOS vs. OKC,0,240,104,38,92,41.3,13,37,35.1,15,19,78.9,11,35,46,22,9,5,13,25
03/06/2020 - BOS vs. UTA,0,240,94,35,94,37.2,10,36,27.8,14,18,77.8,13,32,45,19,6,6,12,13
03/04/2020 - BOS @ CLE,1,240,112,40,86,46.5,11,30,36.7,21,26,80.8,13,36,49,16,10,7,11,20
03/03/2020 - BOS vs. BKN,0,265,120,44,103,42.7,15,49,30.6,17,23,73.9,13,29,42,24,10,6,15,30
02/29/2020 - BOS vs. HOU,0,265,110,39,100,39.0,13,42,31.0,19,25,76.0,14,40,54,22,11,6,14,18
02/26/2020 - BOS @ UTA,1,240,114,45,84,53.6,11,26,42.3,13,16,81.3,9,35,44,21,7,4,8,17
02/25/2020 - BOS @ POR,1,240,118,43,90,47.8,19,39,48.7,13,14,92.9,8,37,45,19,6,3,14,19
02/23/2020 - BOS @ LAL,0,240,112,38,83,45.8,13,34,38.2,23,30,76.7,8,36,44,20,7,3,17,29
02/21/2020 - BOS @ MIN,1,240,127,44,95,46.3,10,29,34.5,29,37,78.4,16,42,58,21,5,6,10,26
02/13/2020 - BOS vs. LAC,1,290,141,45,103,43.7,18,43,41.9,33,40,82.5,7,44,51,22,9,6,14,28
02/11/2020 - BOS @ HOU,0,240,105,37,85,43.5,11,32,34.4,20,25,80.0,10,38,48,24,11,4,18,26
02/09/2020 - BOS @ OKC,1,240,112,38,84,45.2,16,36,44.4,20,27,74.1,14,39,53,19,6,2,9,24
02/07/2020 - BOS vs. ATL,1,240,112,37,86,43.0,16,37,43.2,22,27,81.5,11,36,47,23,5,8,13,18
02/05/2020 - BOS vs. ORL,1,240,116,46,86,53.5,13,23,56.5,11,16,68.8,6,35,41,23,10,6,12,19
02/03/2020 - BOS @ ATL,1,240,123,48,90,53.3,12,29,41.4,15,17,88.2,11,33,44,21,10,5,15,22
02/01/2020 - BOS vs. PHI,1,240,116,38,80,47.5,8,30,26.7,32,41,78.0,9,33,42,15,9,2,10,20
01/30/2020 - BOS vs. GSW,1,240,119,42,88,47.7,15,35,42.9,20,22,90.9,14,37,51,27,12,4,22,24
01/28/2020 - BOS @ MIA,1,240,109,39,83,47.0,13,36,36.1,18,24,75.0,11,37,48,24,5,8,14,22
01/26/2020 - BOS @ NOP,0,240,108,41,89,46.1,8,33,24.2,18,22,81.8,7,30,37,21,6,5,16,29
01/24/2020 - BOS @ ORL,1,240,109,40,86,46.5,14,35,40.0,15,18,83.3,9,35,44,27,10,7,13,20
01/22/2020 - BOS vs. MEM,1,240,119,45,89,50.6,14,32,43.8,15,20,75.0,9,35,44,32,11,9,9,14
01/20/2020 - BOS vs. LAL,1,240,139,52,93,55.9,16,34,47.1,19,29,65.5,14,34,48,31,10,5,12,26
01/18/2020 - BOS vs. PHX,0,240,119,42,96,43.8,15,42,35.7,20,22,90.9,4,35,39,26,11,6,11,24
01/16/2020 - BOS @ MIL,0,240,123,43,98,43.9,15,49,30.6,22,27,81.5,10,33,43,16,4,7,7,25
01/15/2020 - BOS vs. DET,0,240,103,41,83,49.4,9,28,32.1,12,20,60.0,13,31,44,21,7,2,15,17
01/13/2020 - BOS vs. CHI,1,240,113,39,83,47.0,9,23,39.1,26,29,89.7,10,33,43,28,7,6,12,19
01/11/2020 - BOS vs. NOP,1,240,140,55,100,55.0,14,29,48.3,16,18,88.9,10,43,53,29,14,3,10,23
01/09/2020 - BOS @ PHI,0,240,98,38,88,43.2,14,36,38.9,8,8,100,8,30,38,17,8,1,14,16
01/08/2020 - BOS vs. SAS,0,240,114,37,89,41.6,13,38,34.2,27,30,90.0,8,31,39,26,7,2,15,20
01/06/2020 - BOS @ WAS,0,240,94,33,95,34.7,8,37,21.6,20,26,76.9,16,39,55,17,7,8,16,20
01/04/2020 - BOS @ CHI,1,240,111,43,82,52.4,8,19,42.1,17,21,81.0,13,31,44,22,10,5,19,22
01/03/2020 - BOS vs. ATL,1,240,109,41,93,44.1,6,25,24.0,21,29,72.4,12,42,54,23,9,7,12,16
12/31/2019 - BOS @ CHA,1,240,109,44,97,45.4,14,38,36.8,7,10,70.0,15,39,54,25,12,9,10,16
12/28/2019 - BOS vs. TOR,0,240,97,31,78,39.7,7,32,21.9,28,36,77.8,7,24,31,18,11,4,14,17
12/27/2019 - BOS vs. CLE,1,240,129,49,95,51.6,14,40,35.0,17,19,89.5,12,31,43,28,4,10,11,23
12/25/2019 - BOS @ TOR,1,240,118,46,92,50.0,14,33,42.4,12,14,85.7,13,32,45,26,7,3,19,22
12/22/2019 - BOS vs. CHA,1,240,119,46,88,52.3,14,32,43.8,13,16,81.3,10,47,57,25,2,9,11,24
12/20/2019 - BOS vs. DET,1,240,114,45,86,52.3,9,27,33.3,15,21,71.4,13,38,51,24,13,9,20,19
12/18/2019 - BOS @ DAL,1,240,109,35,86,40.7,12,38,31.6,27,30,90.0,14,40,54,13,3,4,15,21
12/12/2019 - BOS vs. PHI,0,240,109,42,91,46.2,11,31,35.5,14,17,82.4,9,24,33,24,4,7,6,25
12/11/2019 - BOS @ IND,0,240,117,43,87,49.4,14,36,38.9,17,22,77.3,8,36,44,25,6,4,15,27
